Demography,NumPops,NumInd,NumLoci,Dch,Adj.Rsqr.Pos,Morans.I,Scaled.Morans.I
1R,90,20,9900,0.585264324,0.695649796,0.563906644,0.434641486
1R,90,6,9900,0.38994539,0.359205326,0.292027454,0.225085567
1R,90,20,9900,0.565533007,0.688355763,0.550017863,0.423936451
1R,90,6,9900,0.380897477,0.354393638,0.28549516,0.220050681
1R,90,20,9900,0.57339619,0.688554125,0.554133275,0.427108481
1R,90,6,9900,0.381509264,0.352564726,0.28434151,0.219161484
2R,90,20,9900,0.66161203,0.706155916,0.612104214,0.471790656
2R,90,6,9900,0.422378118,0.360304158,0.309818288,0.238798182
2R,90,20,9900,0.672167009,0.714562932,0.622242516,0.47960494
2R,90,6,9900,0.429407733,0.366808364,0.317234721,0.244514535
2R,90,20,9900,0.656667488,0.697535859,0.607041953,0.467888825
2R,90,6,9900,0.418810032,0.350932353,0.30456045,0.234745606
IBD,90,20,9900,0.419387205,0.431718684,0.332962569,0.256637065
IBD,90,6,9900,0.290490747,0.207496736,0.158400373,0.12209002
IBD,90,20,9900,0.423469285,0.430776791,0.334171908,0.257569185
IBD,90,6,9900,0.290671426,0.203755119,0.156322949,0.120488807
IBD,90,20,9900,0.41327609,0.423300528,0.324078144,0.249789229
IBD,90,6,9900,0.285948342,0.20072376,0.151648221,0.116885674
IM,90,20,9900,0.167599183,-0.0006735,-0.003017338,-0.002325669
IM,90,6,9900,0.166577798,-0.004745616,-0.006261481,-0.004826153
IM,90,20,9900,0.166094259,0.00118397,-0.004923578,-0.003794939
IM,90,6,9900,0.164644901,-0.005762894,-0.0083825,-0.006460967
IM,90,20,9900,0.167912119,0.000792139,-0.004224005,-0.00325573
IM,90,6,9900,0.166146603,-0.003867684,-0.007207724,-0.005555487
1R,90,20,3300,0.584119116,0.696570631,0.563660513,0.434451777
1R,90,6,3300,0.388602032,0.358442369,0.290999561,0.2242933
1R,90,20,3300,0.56963431,0.691437875,0.553084322,0.426299981
1R,90,6,3300,0.385160316,0.35878146,0.289836816,0.223397093
1R,90,20,3300,0.576119149,0.689499424,0.556501061,0.428933497
1R,90,6,3300,0.383324245,0.352233356,0.286027881,0.220461285
2R,90,20,3300,0.663414915,0.712318205,0.614704242,0.473794676
2R,90,6,3300,0.423429183,0.36031437,0.310955976,0.239675076
2R,90,20,3300,0.660606429,0.708610712,0.613842313,0.473130328
2R,90,6,3300,0.422912929,0.357760591,0.312052768,0.240520449
2R,90,20,3300,0.656758798,0.703913635,0.609391611,0.469699867
2R,90,6,3300,0.418805289,0.350951377,0.305439368,0.235423048
IBD,90,20,3300,0.412699739,0.42473892,0.326047807,0.251307384
IBD,90,6,3300,0.286271423,0.209794453,0.154861125,0.11936208
IBD,90,20,3300,0.420254157,0.43278237,0.333743165,0.257238724
IBD,90,6,3300,0.289745962,0.204789606,0.15779381,0.121622501
IBD,90,20,3300,0.415640075,0.424893443,0.326827392,0.251908264
IBD,90,6,3300,0.286801761,0.198655765,0.153629924,0.118413109
IM,90,20,3300,0.169154562,0.003356501,-0.002562041,-0.00197474
IM,90,6,3300,0.1688671,-0.006705808,-0.003754637,-0.002893956
IM,90,20,3300,0.165807257,-0.002980487,-0.003895389,-0.003002444
IM,90,6,3300,0.163506955,0,-0.008676662,-0.006687698
IM,90,20,3300,0.168783267,-0.009884193,-0.004225036,-0.003256524
IM,90,6,3300,0.16811811,-0.007165772,-0.005103212,-0.003933395
1R,90,20,500,0.596699731,0.701040417,0.575682968,0.443718307
1R,90,6,500,0.399869851,0.357163831,0.299468425,0.230820833
1R,90,20,500,0.571511016,0.697512536,0.562014686,0.433183225
1R,90,6,500,0.395760269,0.35244525,0.302365727,0.233053982
1R,90,20,500,0.583945048,0.680467399,0.558340989,0.430351655
1R,90,6,500,0.388579889,0.33471435,0.287785923,0.221816329
2R,90,20,500,0.661516527,0.692993171,0.609365592,0.469679813
2R,90,6,500,0.422708553,0.341064838,0.303906071,0.234241231
2R,90,20,500,0.661079703,0.701187232,0.610078176,0.47022905
2R,90,6,500,0.426318255,0.337437995,0.307037617,0.236654928
2R,90,20,500,0.652016365,0.703828384,0.607947202,0.468586562
2R,90,6,500,0.415571266,0.336223125,0.299673224,0.230978686
IBD,90,20,500,0.417004026,0.424633999,0.32877212,0.253407199
IBD,90,6,500,0.287468893,0.181491395,0.154427615,0.119027943
IBD,90,20,500,0.434852509,0.431825586,0.339623706,0.26177126
IBD,90,6,500,0.302518766,0.174971483,0.162312038,0.125105008
IBD,90,20,500,0.430736504,0.419755048,0.336513744,0.259374199
IBD,90,6,500,0.294028376,0.179794676,0.153212433,0.118091319
IM,90,20,500,0.167465953,-0.003152931,-0.002235245,-0.001722856
IM,90,6,500,0.167956179,0,-0.003908763,-0.003012751
IM,90,20,500,0.164042749,0,-0.004832883,-0.003725034
IM,90,6,500,0.161502209,0,-0.012345304,-0.009515371
IM,90,20,500,0.167022022,0,-0.006123099,-0.004719492
IM,90,6,500,0.170342505,0,-0.00809232,-0.006237305